"","i","con.e","con.se","tre.e","tre.se"
"308",308,137.299,38.527,267.241,35.399
"309",309,177.085,47.685,202.637,42.497
"310",310,180.52,41.804,261.455,35.702
"311",311,205.515,40.02,154.166,48.256
"312",312,57.601,6.309,58.499,6.761
"313",313,182.495,40.722,231.176,28.785
"314",314,232.857,33.808,184.301,40.317
"315",315,212.954,40.981,161.579,32.069
"316",316,232.944,40.88,233.638,42.359
"317",317,199.821,36.639,209.553,46.627
"318",318,160.688,38.725,254.088,32.224
"319",319,206.59,32.569,123.215,41.901
"320",320,67.408,12.768,102.094,15.487
"321",321,124.107,29.053,139.012,29.919
"322",322,171.997,39.831,237.017,41.101
"323",323,188.422,41.042,176.429,37.539
"324",324,234.385,39.43,221.65,40.666
"325",325,208.82,43.401,172.196,44.52
"326",326,125.221,38.823,192.515,34.579
"327",327,202.755,41.679,237.492,39.295
"328",328,152.337,37.259,204.124,39.103
"329",329,243.675,32.926,232.749,34.534
"330",330,248.8,35.866,229.872,44.84
"331",331,244.778,39.117,114.685,36.037
"332",332,184.983,49.067,250.394,37.382
"333",333,183.881,42.873,268.735,31.069
"334",334,220.08,35.444,213.421,37.508
"335",335,170.24,40.053,183.046,47.284
"336",336,288.03,41.51,172.549,49.01
"337",337,237.622,43.611,149.959,41.463
"338",338,188.128,47.888,166.947,46.091
"339",339,169.132,43.285,165.435,41.497
"340",340,238.169,32.821,290.622,29.268
"341",341,235.799,46.479,161.964,43.242
"342",342,130.535,45.198,188.442,30.969
"343",343,200.432,40.547,194.908,43.615
"344",344,146.371,37.359,215.04,36.807
"345",345,177.801,43.774,169.125,49.971
"346",346,238.153,43.926,223.842,44.214
"347",347,186.391,40.795,149.862,44.646
"348",348,227.659,38.95,204.184,44.993
"349",349,223.481,50.073,242.343,35.596
"350",350,185.261,33.093,118.405,31.504
"351",351,181.158,35.362,247.096,44.251
"352",352,259.768,32.521,140.951,42.046
"353",353,211.302,44.044,144.132,37.161
"354",354,236.591,41.331,190.105,42.807
"355",355,218.859,46.803,232.27,35.472
"356",356,175.637,40.018,191.951,47.94
"357",357,221.894,47.387,206.013,43.047
"358",358,141.727,24.682,124.641,24.657
"359",359,260.438,30.705,172.339,41.835
